                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79258,                 1.2394,                 1.0717,                 1.0834,                0.99994,                      1,                  0.995,                0.88589,                0.99994,                      1,                  0.995,                  0.849,                0.55315,                0.81045,                0.45136,                0.58464,             0.00066366,             0.00066366,             0.00066366
                      2,                0.54509,                0.58674,                0.46846,                0.93793,                0.99992,                      1,                  0.995,                0.91088,                0.99992,                      1,                  0.995,                0.89055,                0.44711,                0.69051,                0.38362,                 1.0085,              0.0013172,              0.0013172,              0.0013172
                      3,                0.51824,                0.54782,                0.41961,                 0.9243,                0.99728,                0.99843,                0.99499,                0.93806,                0.99728,                0.99843,                0.99499,                0.92592,                0.50328,                 0.7746,                0.41571,                 1.0347,              0.0019575,              0.0019575,              0.0019575
                      4,                0.50868,                 0.5406,                0.39121,                0.91633,                 0.9999,                      1,                  0.995,                0.97701,                 0.9999,                      1,                  0.995,                0.88439,                 0.2384,                0.67472,                0.25488,                 0.9531,              0.0019406,              0.0019406,              0.0019406
                      5,                0.47147,                0.51617,                0.36032,                0.90593,                0.99993,                      1,                  0.995,                0.96579,                0.99993,                      1,                  0.995,                0.87206,                0.27773,                 1.0231,                0.26274,                0.96396,              0.0019406,              0.0019406,              0.0019406
                      6,                0.46098,                0.49526,                0.33852,                0.89945,                0.99991,                      1,                  0.995,                0.97537,                0.99991,                      1,                  0.995,                0.86887,                0.33162,                0.62492,                0.36053,                0.96388,              0.0019208,              0.0019208,              0.0019208
                      7,                0.44247,                0.47965,                0.31728,                0.89906,                0.99992,                      1,                  0.995,                0.98027,                0.99992,                      1,                  0.995,                0.88417,                0.23159,                0.81903,                0.29692,                0.95391,               0.001901,               0.001901,               0.001901
                      8,                0.44419,                0.48271,                0.31355,                0.89813,                0.99939,                      1,                  0.995,                0.97992,                0.99939,                      1,                  0.995,                0.89359,                0.26701,                0.65201,                0.29587,                0.95871,              0.0018812,              0.0018812,              0.0018812
                      9,                0.42354,                 0.4472,                0.30076,                0.89137,                0.99889,                      1,                  0.995,                0.98735,                0.99889,                      1,                  0.995,                0.89439,                 0.2048,                0.74672,                0.17512,                0.94352,              0.0018614,              0.0018614,              0.0018614
                     10,                0.42119,                0.44048,                0.29604,                0.89101,                0.99989,                      1,                  0.995,                  0.978,                0.99989,                      1,                  0.995,                0.88822,                0.29396,                0.83933,                0.34567,                 1.0044,              0.0018416,              0.0018416,              0.0018416
                     11,                0.40907,                 0.4263,                 0.2843,                0.89021,                0.99967,                0.99945,                  0.995,                0.98891,                0.99967,                0.99945,                  0.995,                0.88867,                0.25771,                0.74757,                0.31938,                0.97126,              0.0018218,              0.0018218,              0.0018218
                     12,                0.40806,                0.42791,                0.28493,                0.88757,                0.99618,                      1,                0.99499,                0.97412,                0.99618,                      1,                0.99499,                0.89828,                0.26203,                0.84431,                0.38035,                0.95444,               0.001802,               0.001802,               0.001802
                     13,                0.40874,                0.43687,                0.28498,                0.88601,                0.99988,                      1,                  0.995,                0.98458,                0.99988,                      1,                  0.995,                0.88595,                0.22213,                0.97968,                 0.2102,                0.94965,              0.0017822,              0.0017822,              0.0017822
